#,"d1, mm","d2, mm","d3, mm","t, degC","tp, s","rho, kg/m3","rhog, kg/m3"
1,0.6,0.7,0.7,33,11.1,7800,1254
2,0.65,0.7,0.65,33,10.9,7800,1254
3,0.5,0.6,0.7,40,10.9,7800,1250
4,0.8,0.8,0.7,40,6.0,7800,1250
5,0.7,0.7,0.7,47,5.0,7800,1245
6,0.8,0.7,0.7,26,12.8,7800,1258
7,0.7,0.8,0.7,47,4.8,7800,1245
8,0.9,0.8,0.8,26,10.0,7800,1258
9,1.9,1.9,1.8,26,9.7,2500,1258
10,2.1,2.0,2.0,54,2.3,2500,1251
11,2.0,2.0,2.0,26,9.9,2500,1258
12,2.0,1.9,1.9,54,2.2,2500,1251
13,2.1,1.9,1.9,47,3.3,2500,1245
14,2.1,2.0,2.2,47,3.3,2500,1245
15,1.9,2.0,2.0,40,4.6,2500,1250
16,2.1,2.0,2.0,40,5.1,2500,1250
17,1.8,2.0,1.9,33,6.4,2500,1254
18,2.0,2.1,2.0,33,7.7,2500,1254
19,0.8,0.9,0.8,54,2.6,7800,1251
20,0.8,0.75,0.75,54,2.8,7800,1251
